Keyword,Categoria,Frequency,IDs_perguntas
aproximar,BT1,3,1/1222/4705
viver,BT1,3,1/16/1296
rotular,BT1,21,2/8/34/35/36/1222/1268/2495/4520/5324/5495/5497/5499/5502/5503/5504/5608/5612/5613/5616/5617
indicar,BT1,1,2
definar,BT1,134,3/4/5/6/7/628/701/704/708/746/805/811/823/849/904/926/948/1014/1023/1081/1118/1145/1147/1185/1206/1232/1261/1280/1375/1404/1416/1454/1645/1670/1679/1687/1726/1753/1765/1795/1860/1883/1917/1924/1930/2051/2123/2126/2139/2324/2420/2455/2521/2554/2621/2711/2719/2741/2775/2805/2822/2913/2982/3013/3027/3028/3045/3142/3245/3306/3309/3343/3382/3416/3427/3428/3456/3463/3484/3498/3685/3748/3752/3754/3797/3805/3844/3902/3942/3964/4034/4081/4086/4101/4109/4141/4195/4235/4245/4247/4271/4278/4280/4289/4304/4325/4333/4387/4427/4444/4553/4587/4598/4704/4735/4744/4771/4877/4931/4938/4959/5054/5085/5149/5159/5190/5279/5307/5372/5426/5429/5540/5543/5546
compor,BT1,4,3/445/2940/5164
desenhar,BT1,125,8/9/10/11/41/730/740/743/793/833/844/902/924/1002/1172/1187/1268/1269/1282/1302/1477/1482/1504/1552/1567/1608/1650/1710/1718/1744/1750/1762/1779/1913/1918/1921/2009/2058/2130/2183/2202/2203/2383/2385/2495/2497/2507/2515/2619/2655/2748/2778/2792/2795/2812/2885/2939/3007/3104/3146/3263/3290/3308/3322/3331/3370/3453/3461/3491/3544/3575/3579/3673/3741/3756/3774/3782/3783/3925/3962/3986/4007/4041/4061/4070/4075/4087/4089/4300/4310/4408/4410/4520/4608/4616/4617/4668/4695/4719/4724/4788/4793/4846/4870/4878/4939/4953/4973/5009/5011/5011/5112/5117/5162/5164/5183/5186/5205/5225/5253/5324/5339/5352/5401/5600
usar,BT1,137,9/431/440/441/609/681/724/761/892/948/964/998/1095/1110/1147/1171/1222/1368/1488/1566/1646/1695/1744/1754/1761/1825/1826/1891/1902/1913/1927/1963/1996/2036/2050/2065/2199/2253/2368/2385/2385/2397/2420/2503/2511/2623/2623/2631/2661/2728/2768/2817/2833/2879/2943/2998/3041/3184/3213/3288/3296/3328/3379/3405/3408/3454/3464/3489/3496/3747/3803/3860/3888/3895/3923/4071/4190/4226/4276/4300/4302/4329/4359/4370/4434/4454/4478/4496/4633/4691/4706/4712/4789/4797/4810/4864/4984/5023/5041/5075/5125/5134/5158/5170/5199/5287/5317/5338/5401/5483/5489/5598/5603/5646/5647/7205/7411/7434/7486/7491/7497/7583/7628/7653/7764/7827/8064/8073/8123/8260/8362/8432/8462/8515/8660/8737/8749
existir,BT1,3,12/15/44
poder,BT1,64,17/597/681/892/942/1475/1606/2399/2661/2817/3501/3587/4599/4783/5058/5289/5415/5419/5424/5428/5434/5436/5438/5440/5442/5444/5446/5450/5454/5477/5485/5487/5489/5491/5493/5509/5513/5515/5519/5523/5529/5532/5535/5538/5550/5552/5554/5556/5559/5563/5567/5572/5599/5601/5603/5605/5607/5622/5628/5630/5632/5634/5657/5675
armazenar,BT1,2,17/5324
pagar,BT1,1,18
pesar,BT1,1,19
levar,BT1,2,20/5672
construir,BT1,4,20/435/2964/2998
beber,BT1,1,21
identificar,BT1,65,22/23/24/25/26/27/28/29/30/53/821/966/976/1094/1505/1520/1715/1807/2517/2836/3476/3526/4009/4140/4322/4516/5157/5349/5475/5476/5477/5478/5479/5480/5481/5482/5483/5484/5500/5588/5589/5590/5591/5592/5593/5594/5595/5596/5597/5609/5610/5615/7186/7401/7505/7776/7813/7975/8056/8275/8356/8471/8514/8523/8706
partir,BT1,5,24/2009/2202/3358/4436
começar,BT1,2,30/431
falar,BT1,4,31/597/5289/5550
ficar,BT1,1,32
morar,BT1,1,33
mostrar,BT1,31,36/698/1268/1311/2383/2750/5111/5284/5305/5324/5485/5486/5487/5488/5489/5490/5491/5492/5493/5494/5598/5599/5600/5601/5602/5603/5604/5605/5606/5607/8731
listar,BT1,143,37/38/39/40/41/42/43/44/599/617/635/647/694/726/793/850/858/881/890/892/892/954/967/1011/1029/1038/1067/1069/1238/1269/1306/1372/1395/1414/1458/1635/1696/1742/1750/1848/1934/1942/1963/2050/2089/2156/2170/2176/2186/2310/2381/2417/2444/2490/2518/2530/2536/2540/2721/2756/2768/2786/2806/2827/2884/2928/2987/3072/3103/3263/3316/3328/3328/3426/3448/3454/3489/3548/3587/3665/3696/3752/3795/3816/3864/3865/3893/3912/3923/3957/4006/4009/4014/4020/4082/4124/4142/4185/4252/4253/4276/4364/4408/4449/4466/4505/4513/4535/4546/4585/4591/4904/4957/4984/5041/5054/5157/5193/5259/5346/5390/5415/5417/5419/5421/5424/5529/5531/5532/5534/5535/5537/5538/7411/7434/7491/7497/8064/8260/8362/8660/8674/8737
mencionar,BT1,6,37/1064/2053/2146/3223/4995
reservar,BT1,1,38
envolver,BT1,13,42/858/1188/1928/2067/2424/3253/3827/4963/5454/5532/5635/5651
olhar,BT1,1,45
fazer,BT1,11,46/876/1875/2403/2481/2817/3392/5440/5487/5491/5604
aprender,BT1,2,46/5555
citar,BT1,144,47/49/50/64/66/629/674/676/719/957/964/1076/1105/1108/1171/1206/1211/1228/1233/1270/1439/1441/1587/1813/1914/1950/1985/2080/2110/2146/2161/2164/2165/2169/2296/2358/2382/2430/2448/2516/2582/2593/2607/2623/2650/2720/2833/2898/2935/2966/2998/3004/3006/3094/3203/3216/3258/3287/3288/3320/3365/3395/3450/3462/3623/3745/3827/3881/3933/4052/4158/4255/4305/4309/4457/4474/4572/4588/4594/4696/4706/4845/4862/4963/4980/4987/4991/5055/5108/5141/5170/5208/5224/5237/5272/5378/5388/5418/5423/5515/5516/5518/5519/5520/5522/5523/5524/5526/5528/5628/5629/5630/5631/5632/5633/5634/5637/5647/5651/5657/5662/5666/5669/5672/7230/7410/7425/7443/7499/7554/7626/7820/7824/8031/8073/8119/8341/8343/8492/8558/8697/8731/8750/8752
seguir,BT1,12,47/438/1029/1168/2165/3022/3184/4444/4712/5111/5284/5464
dizer,BT1,43,48/49/51/65/605/764/800/824/1035/1074/1170/1311/1329/1345/1549/1689/2018/2068/2100/2197/2431/2633/2773/2801/3084/3421/4042/4338/4366/4533/4596/4670/4697/4749/4766/5247/5356/5440/5442/5517/5552/5554/5641
pintar,BT1,1,48
nomeiar,BT1,7,52/1474/3083/3290/3626/4686/4950
afirmar,BT1,2,52/5657
relembrar,BT1,11,54/55/5466/5470/5472/5474/5581/5583/5585/5587/5640
lembrar,BT1,48,56/57/58/59/5465/5467/5468/5469/5471/5473/5578/5579/5580/5582/5584/5586/5635/5638/5643/5645/5648/5649/5652/5654/5656/5659/5661/5663/5665/5668/5671/5673/7201/7275/7277/7311/7445/7684/7722/7795/7841/8034/8082/8233/8254/8296/8557/8703
recitir,BT1,15,60/61/62/63/5456/5457/5459/5461/5463/5464/5569/5571/5573/5575/5577
projetar,BT1,8,64/69/1094/2530/3822/4024/5596/7486
encontrar,BT1,9,65/1236/2134/4434/4444/5530/5643/5652/5654
estudar,BT1,1,66
estabelecer,BT1,7,67/69/417/418/886/1481/1954
declarar,BT1,20,68/730/870/899/1222/1804/2157/2168/2468/2482/2885/3085/3232/3326/4070/4269/5158/5339/7184/7722
explicar,BT1,712,70/623/626/629/635/636/639/653/663/671/684/714/716/730/740/743/755/760/761/772/781/784/785/792/807/819/822/823/833/840/843/844/859/870/872/884/886/890/891/899/906/909/920/924/928/930/934/936/947/957/988/990/995/1002/1010/1011/1014/1024/1043/1061/1062/1063/1068/1074/1084/1086/1089/1093/1098/1107/1108/1115/1118/1126/1132/1135/1143/1149/1172/1176/1186/1187/1188/1189/1192/1201/1215/1239/1241/1260/1261/1269/1282/1290/1298/1302/1310/1314/1315/1317/1325/1332/1337/1342/1359/1366/1370/1372/1376/1380/1383/1388/1392/1394/1395/1396/1403/1403/1407/1412/1414/1435/1441/1455/1465/1467/1477/1482/1486/1490/1494/1497/1500/1504/1506/1516/1538/1552/1559/1561/1573/1576/1577/1587/1594/1595/1597/1598/1634/1646/1650/1655/1658/1662/1676/1680/1682/1691/1693/1695/1697/1709/1710/1711/1718/1733/1744/1747/1750/1751/1754/1761/1776/1779/1780/1794/1808/1809/1811/1814/1818/1824/1825/1829/1831/1836/1841/1848/1885/1889/1893/1903/1908/1913/1921/1922/1928/1937/1941/1948/1953/1958/1967/1970/1973/1983/1984/1991/1996/1999/2001/2006/2009/2012/2032/2036/2063/2065/2069/2077/2084/2094/2098/2102/2112/2125/2129/2132/2138/2168/2169/2176/2177/2181/2183/2185/2191/2192/2196/2202/2203/2206/2224/2230/2239/2255/2260/2263/2290/2291/2309/2311/2315/2320/2329/2341/2358/2368/2369/2385/2391/2398/2400/2405/2408/2426/2434/2436/2438/2445/2448/2480/2482/2497/2499/2502/2507/2515/2519/2521/2531/2544/2549/2557/2569/2570/2574/2582/2588/2609/2609/2613/2616/2619/2626/2637/2655/2656/2668/2677/2679/2701/2702/2708/2717/2724/2727/2729/2733/2740/2748/2749/2752/2753/2758/2759/2768/2780/2782/2791/2812/2831/2853/2862/2879/2882/2885/2892/2902/2906/2910/2920/2925/2935/2941/2942/2943/2964/2968/2986/3001/3004/3021/3031/3032/3038/3055/3057/3059/3071/3085/3100/3103/3104/3105/3107/3108/3112/3113/3121/3125/3126/3127/3128/3133/3148/3153/3157/3171/3177/3187/3191/3192/3198/3206/3216/3219/3221/3222/3238/3246/3249/3258/3261/3263/3265/3292/3306/3308/3315/3322/3325/3326/3329/3331/3346/3348/3366/3370/3379/3381/3383/3384/3405/3406/3408/3409/3415/3424/3426/3430/3433/3434/3435/3459/3464/3469/3470/3474/3486/3488/3491/3498/3510/3516/3526/3543/3562/3564/3565/3575/3579/3602/3605/3619/3631/3638/3642/3647/3666/3667/3671/3686/3688/3692/3693/3705/3709/3731/3742/3746/3749/3754/3755/3756/3759/3764/3782/3792/3803/3806/3816/3839/3857/3883/3884/3895/3917/3919/3920/3923/3925/3935/3941/3946/3949/3955/3957/3962/3969/3975/3981/3985/3986/3987/4000/4004/4005/4032/4039/4041/4048/4049/4054/4061/4070/4075/4079/4082/4089/4094/4098/4100/4101/4111/4115/4142/4144/4168/4169/4172/4184/4185/4197/4200/4207/4211/4226/4231/4232/4242/4249/4273/4279/4294/4299/4300/4302/4310/4314/4317/4321/4328/4329/4333/4339/4350/4372/4385/4392/4405/4408/4417/4422/4448/4454/4457/4472/4477/4491/4495/4496/4504/4507/4512/4517/4519/4520/4527/4533/4546/4555/4562/4572/4578/4591/4593/4594/4603/4613/4614/4615/4617/4620/4622/4624/4630/4632/4632/4647/4665/4675/4682/4685/4719/4724/4733/4734/4747/4748/4751/4753/4774/4788/4797/4806/4810/4828/4839/4841/4842/4845/4846/4869/4870/4875/4878/4883/4887/4916/4921/4923/4929/4943/4944/4950/4950/4954/4957/4960/4972/4973/4982/4999/5000/5001/5007/5009/5011/5023/5037/5043/5049/5061/5063/5072/5075/5086/5088/5094/5097/5101/5125/5134/5136/5138/5150/5151/5162/5169/5174/5179/5181/5183/5186/5191/5193/5194/5195/5198/5199/5202/5203/5216/5218/5226/5233/5235/5238/5253/5255/5260/5268/5269/5272/5274/5285/5292/5297/5305/5308/5309/5317/5328/5336/5337/5339/5345/5352/5354/5358/5360/5365/5366/5369/5386/5387/5388/5394/5401/5404/5412/5428/5432/5486/5662/5664/5675/5677/5679/5681/5683
expressar,BT1,1,70
relacionar,BT1,6,423/1561/2740/2745/3998/5151
significar,BT1,31,424/668/899/1326/1380/1425/1512/1611/1657/1717/2138/2149/2159/2206/2399/2487/2584/2762/2961/2995/3079/3293/3904/3943/4006/4156/4240/4297/4486/5168/5430
ver,BT1,2,429/5522
inaugurar,BT1,1,432
acontecer,BT1,1,433
nascer,BT1,1,434
formar,BT1,4,436/1381/2501/4436
determinar,BT1,11,437/440/974/1928/3155/4294/5590/7184/7820/8428/8444
pertencer,BT1,1,438
comprometer,BT1,1,599
querer,BT1,32,605/764/800/824/1035/1074/1170/1311/1329/1345/1549/1689/2018/2068/2100/2197/2431/2633/2773/3421/4042/4338/4366/4533/4596/4670/4697/4749/4766/5247/5356/5551
dar,BT1,41,607/780/792/851/986/1019/1026/1030/1311/1415/1451/1538/1646/2032/2125/2152/2192/2420/2507/2786/2941/3090/3135/3253/3315/3624/3643/3872/3911/3943/4057/4212/4367/4398/4842/4893/5190/5216/5485/5677/8426
descrever,BT1,165,609/646/697/698/699/702/720/758/803/973/1015/1069/1140/1177/1182/1216/1249/1258/1279/1338/1340/1424/1432/1447/1453/1488/1521/1601/1606/1665/1800/1802/1847/1879/1939/1951/1956/2093/2144/2199/2226/2254/2288/2301/2386/2395/2414/2447/2511/2524/2529/2556/2559/2661/2672/2778/2859/2863/2914/2946/2982/3018/3089/3150/3174/3283/3301/3317/3335/3386/3420/3465/3487/3513/3545/3548/3570/3690/3741/3848/3852/3863/4019/4129/4219/4227/4261/4301/4312/4315/4318/4461/4545/4595/4627/4646/4659/4693/4714/4718/4726/4762/4775/4783/4838/4881/4907/4936/4951/4983/5120/5144/5244/5258/5315/5319/5333/5445/5446/5447/5448/5449/5450/5451/5452/5453/5454/5558/5559/5560/5561/5562/5563/5564/5565/5566/5567/5676/5678/5680/5682/5684/7174/7408/7472/7570/7608/7628/7894/7948/8093/8108/8115/8123/8175/8215/8298/8428/8478/8522/8576/8590/8699/8756/8766
escrever,BT1,155,622/661/689/750/752/827/860/898/913/916/939/984/991/1110/1129/1138/1154/1168/1168/1205/1218/1219/1232/1255/1263/1270/1357/1364/1399/1423/1501/1513/1589/1626/1631/1666/1752/1771/1774/1780/1781/1787/1789/1796/1875/1895/1925/1928/1948/2021/2053/2085/2106/2145/2198/2233/2252/2253/2269/2293/2327/2375/2377/2424/2475/2483/2503/2605/2623/2647/2705/2706/2735/2743/2775/2783/2824/2829/2833/2843/2864/2907/2920/2949/2993/3025/3120/3140/3141/3182/3209/3213/3225/3291/3299/3307/3413/3432/3461/3467/3481/3505/3523/3542/3547/3585/3629/3645/3660/3680/3683/3706/3737/3751/3790/3793/3811/3814/3931/3948/3951/4045/4057/4062/4084/4111/4124/4216/4285/4306/4396/4398/4434/4460/4475/4490/4509/4565/4633/4680/4736/4737/4758/4780/4793/4852/4853/4918/5014/5033/5295/5338/5347/5354/5384
comparar,BT1,10,630/1050/1191/1204/1238/1739/1849/2515/4307/5132
comutar,BT1,1,630
explorar,BT1,3,658/4945/5287
discutar,BT1,42,669/675/980/998/1167/1562/1612/1815/1862/2025/2068/2222/2347/2397/2573/2641/2797/2842/2905/2916/3014/3123/3768/3882/3910/3998/4073/4176/4192/4212/4468/4576/4728/4825/4895/4985/5006/5027/5137/5147/5204/5403
calcular,BT1,9,681/1801/2080/2481/2940/3860/5642/7797/8640
indiquir,BT1,17,681/708/726/1537/2390/2523/3022/3140/3271/3283/3325/3685/5117/7851/8181/8426/8444
detalhar,BT1,5,708/936/1026/1693/2125
reforçar,BT1,4,716/716/1074/8031
defenar,BT1,1,743
criar,BT1,8,752/1020/1110/5511/5554/5605/5649/5657
excluir,BT1,1,752
evitar,BT1,3,761/942/2399
sobrecarregar,BT1,4,777/2412/3948/5058
